OBJECTID,Mine_ID,Mine Name,Operation Type,Mine Status,Primary Product,Other Products,Owner,Operator,Lead Agency,Report Year,Acres Disturbed,Reclamation Status,Permit Number,Permit Acres,Financial Assurance Mechanism Total,Financial Assurance Cost Estimate,Latitude,Longitude,x,y
936632,91-31-0016,COLFAX SHALE MINE - CLOSED,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Clay,,LOW,LOW,County of Placer,2006,0,RECLAMATION IN PROGRESS,CUP844,40.00,27000,0,39.063889,-120.96,-13465205.6064,4730827.259800002
936633,91-23-0046,CLOW BAR,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,BLATTNER,E W BLATTNER SAND & GRAVEL,County of Mendocino,2001,0,RECLAMATION NOT STARTED,BLANK,,,,39.069444,-123.458889,-13743380.6574,4731623.7168999985
936634,91-06-0003,SULFUR CREEK PROJECT,PROSPECT,EXEMPT,NOT REPORTED,,PETRAY,CLYDE MINE,County of Colusa,1991,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"3809 CA058,91-4-1 PER",,,,39.071111,-122.48,-13634411.2324,4731862.737899996
936635,91-23-0049,GREENWOOD AGGREGATES,QUARRY,ACTIVE,Stone,Fill Dirt,BIRD,GREENWOOD AGGREGATES,County of Mendocino,2018,2.68,RECLAMATION NOT STARTED,U19-2003,4.00,59340,66877,39.076667,-123.518889,-13750059.8268,4732659.4199
936636,91-06-0014,PETERSON FARMS AT CORTINA ROAD,,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Sand and Gravel,,"COLUSA COUNTY, DEPARTMENT OF PUBLIC WORKS","COLUSA COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Colusa,2011,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,UP 03-2-2,15.00,,0,39.078889,-122.144167,-13597026.4738,4732978.052900001
936637,91-06-0010,O'SULLIVAN RANCH PIT,OPEN PIT,CLOSED NO INTENT TO RESUME,Sand and Gravel,,"CLEARLAKE REDI-MIX, INC.","CLEARLAKE REDI-MIX, INC.",County of Colusa,2017,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,93-12-1,140.00,,,39.08,-122.190278,-13602159.5268,4733137.373099998
936638,91-23-0052,SNOW'S MILL,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,0.62,RECLAMATION NOT STARTED,U4-2006,1.00,4400.58,7732,39.082778,-123.501111,-13748080.7889,4733535.756499998
936639,91-31-0011,BEAR RIVER GRAVEL PLANT - PLACER COUNTY - RECLAIMED,PLANT OR MILL,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Stone,,HANSEN BROTHERS ENTERPRISES,HANSEN BROTHERS ENTERPRISES,County of Placer,2008,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,BLANK,0.00,3515.7,0,39.11,-120.988056,-13468328.786,4737440.399300002
936640,91-29-0007,BEAR RIVER PLANT,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL,QUARRY",CLOSED NO INTENT TO RESUME,Sand and Gravel,,NEVADA COUNTY IRRIGATION DISTRICT,HANSEN BROTHERS ENTERPRISES,County of Nevada,2018,67,RECLAMATION IN PROGRESS,BLANK,0.00,,4290.9,39.113056,-120.988056,-13468328.786,4737878.8369999975
936641,91-23-0058,WEST CORRALS,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,0.4,RECLAMATION NOT STARTED,91-23-058,1.00,6700.91,11244,39.117222,-123.595833,-13758625.1937,4738476.5546
936642,91-31-0017,SNOW BIRD - RECLAIMED,UNDERGROUND,RECLAIMED,Gold (Lode),,WYLIE LOGGING,WYLIE LOGGING,County of Placer,1998,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"91-31-0017,POO #54-027 USF",,,,39.124167,-120.739444,-13440653.4247,4739473.068400003
936643,91-58-0005,LINDA SAND & GRAVEL-RECLAIMED,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Sand and Gravel,,WOOD,LINDA SAND & GRAVEL,State Mining & Geology Board,2001,16,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,11616-C-BD,,4750,,39.128056,-121.55,-13530884.1059,4740031.1303
936644,91-23-0057,PERRY GULCH,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,0.51,RECLAMATION NOT STARTED,91-23-057,1.00,10401.44,16472,39.128333,-123.578333,-13756677.1026,4740070.8803
936645,91-31-0015,ROLLINS LAKE SHALE PIT - RECLAIMED,QUARRY,RECLAIMED,Shale,,"PLACER COUNTY, DEPARTMENT OF PUBLIC WORKS","PLACER COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Placer,1993,5,RECLAMATION NOT STARTED,BLANK,,,,39.13,-120.94,-13462979.2165,4740310.101099998
936646,91-58-0025,SIMPSON LANE,OPEN PIT,IDLE,Sand and Gravel,,"ORCHARD GROWERS, LLC","ORCHARD GROWERS, LLC",State Mining & Geology Board,2018,0,RECLAMATION IN PROGRESS,2006-0013,73.00,,0,39.133333,-121.561111,-13532120.9768,4740788.416100003
936647,91-23-0003,FORD GRAVEL - TALMAGE,DREDGE,ACTIVE,Sand and Gravel,,NORCAL RECYCLED ROCK,NORCAL RECYCLED ROCK & AGGREGATE,County of Mendocino,2018,15.64,RECLAMATION IN PROGRESS,,98.00,168828.93,203828,39.134167,-123.183889,-13712767.7974,4740908.105999999
936648,91-17-0030,HALE RANCH QUARRY - CLOSED,QUARRY,RECLAIMED,Rock,,SNYDER,"PARNUM PAVING, INC.",County of Lake,1998,0,RECLAMATION NOT STARTED,UP 94-6,3.00,,,39.138333,-122.922778,-13683701.0539,4741506.002800003
936649,91-51-0001,BUTTE SAND & GRAVEL,,ACTIVE,Sand and Gravel,,BUTTE SAND AND GRAVEL,BUTTE SAND AND GRAVEL,County of Sutter,2018,253,RECLAMATION IN PROGRESS,,481.00,,387430,39.157222,-121.805278,-13559301.5229,4744217.361900002
936650,91-51-0003,WEST BUTTE QUARRY,OPEN PIT,ACTIVE,Sand and Gravel,,BUTTE SAND AND GRAVEL,BUTTE SAND AND GRAVEL,County of Sutter,2018,18,RECLAMATION NOT STARTED,SMRP#6,36.00,,46325,39.158333,-121.830833,-13562146.2925,4744376.859399997
936651,91-23-0056,NORTH FORK NOVARRO & HWY 128,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,1.2,RECLAMATION NOT STARTED,U4-2006,1.00,10501.45,16966,39.159167,-123.566944,-13755409.285,4744496.5918999985
936652,91-51-0006,BUTTE RANCH -MERGED W/ 91-51-0001,QUARRY,CLOSED - MERGED,Sand and Gravel,,BUTTE SAND & GRAVEL,BUTTE SAND & GRAVEL,County of Sutter,2006,5,RECLAMATION NOT STARTED,1515,25.00,,356860,39.162778,-121.8,-13558713.9786,4745015.018200003
936653,91-58-0019,MARYSVILLE PROPERTY,"DREDGE,OPEN PIT,PLANT OR MILL",ACTIVE,Sand and Gravel,"Silver,Gold (Placer)",TEICHERT AGGREGATES,TEICHERT MATERIALS,State Mining & Geology Board,2018,282.9,RECLAMATION NOT STARTED,94-01,590.00,1210030.23,1225932.61,39.166667,-121.458333,-13520679.782200001,4745573.386299998
936654,91-23-0001,LITTLE EAGLE ROCK QUARRY-RECLAIMED,OPEN PIT,RECLAIMED,Stone,,"MENDOCINO REDWOOD COMPANY, LLC","MENDOCINO REDWOOD COMPANY, LLC",County of Mendocino,2000,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,U46-88,5.00,,,39.168056,-123.298889,-13725569.5389,4745772.821199998
936655,91-31-0019,BLACK CANYON MINE,UNDERGROUND,NEWLY PERMITTED,Gold (Placer),,FORESTHILL EXPLORATION & MINING,FORESTHILL EXPLORATION & MINING,County of Placer,2016,0,RECLAMATION NOT STARTED,"CAMC 268487-89,MUP 2381",,,27512,39.174444,-120.608889,-13426120.1086,4746690.071500003
936656,91-29-0015,SECRET TOWN PLANT- RECLAIMED,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,NOT REPORTED,,NEVADA IRRIGATION DISTRICT,NEVADA IRRIGATION DISTRICT,County of Nevada,2015,0,RECLAMATION IN PROGRESS,88-03,60.00,,0,39.176944,-120.895,-13457969.839499999,4747049.0682
936657,91-58-0001,WESTERN AGGREGATES,"PLANT OR MILL,TAILINGS PROCESSING",ACTIVE,Sand and Gravel,,"WESTERN AGGREGATES, INC.",Western Aggregates LLC,State Mining & Geology Board,2018,365,RECLAMATION NOT STARTED,"CUP 74-48,UP/RP 80-0",,1820162,1468039,39.18,-121.456389,-13520463.3771,4747487.923100002
936658,91-58-0016,DANTONI PIT,,EXEMPT,,,,,State Mining & Geology Board,,,,,,,,39.182222,-121.496944,-13524977.939,4747807.023900002
936659,91-58-0011,DANTONI PIT,"DREDGE,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING",ACTIVE,Sand and Gravel,,NOBLE (BUD) PLANT AND ELEANOR PLANT,PLANT,State Mining & Geology Board,2018,44,RECLAMATION IN PROGRESS,P 77-42,200.00,272216,295828,39.183056,-121.496111,-13524885.2099,4747926.7971
936660,91-58-0003,"CAL SIERRA DEVELOPMENT, INC.",DREDGE,ACTIVE,Gold (Placer),,"CAL SIERRA DEVELOPMENT, INC.","CAL SIERRA DEVELOPMENT, INC.",State Mining & Geology Board,2018,6.9,RECLAMATION IN PROGRESS,BLANK,704.00,1745708.26,1706692,39.185,-121.456944,-13520525.159400001,4748205.986000001
936661,91-17-0022,ROBINSON RANCH QUARRY - CLOSED,QUARRY,RECLAIMED,,,"LAKE COUNTY, DEPARTMENT OF PUBLIC WORKS","LAKE COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Lake,1994,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,BLANK,5.00,,,39.188056,-122.98,-13690070.9778,4748644.891099997
936662,91-58-0006,HALLWOOD PLANT,TAILINGS PROCESSING,ACTIVE,Sand and Gravel,,TEICHERT AGGREGATES,TEICHERT MATERIALS,State Mining & Geology Board,2018,270,RECLAMATION IN PROGRESS,BLANK,0.00,1496803.14,1696165.93,39.197778,-121.48,-13523091.7416,4750041.299500003
936663,91-29-0006,GREENHORN GRAVEL PLANT,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",ACTIVE,Sand and Gravel,Gold (Placer),HANSEN BROTHERS ENTERPRISES,HANSEN BROTHERS ENTERPRISES,County of Nevada,2018,341,RECLAMATION NOT STARTED,93-063,400.00,75000,54259.04,39.198889,-120.933056,-13462206.214,4750200.8891
936664,91-29-0002,NORTH STAR PLANT- - RECLAIMED,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Rock,,HANSEN BROTHERS ENTERPRISES,HANSEN BROTHERS ENTERPRISES,County of Nevada,2004,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,U92-037,8.00,14205,0,39.200833,-121.069167,-13477358.021200001,4750480.140900001
936665,91-58-0002,HALLWOOD PLANT,OPEN PIT,ACTIVE,Sand and Gravel,Gold (Placer),"BALDWIN CONTRACTING COMPANY, INC.",KNIFE RIVER CONSTRUCTION,State Mining & Geology Board,2018,393,RECLAMATION NOT STARTED,,488.00,147543.36,150690.38,39.202222,-121.503611,-13525720.1061,4750679.672799997
936666,91-29-0014,NORTHSTAR MINE-BANKRUPT,TAILINGS PROCESSING,BANKRUPT,Sand and Gravel,,NORTHSTAR/GRASS VALLEY LLC,NORTHSTAR/GRASS VALLEY LLC,County of Nevada,2006,8,RECLAMATION NOT STARTED,U79-41,8.00,5000,,39.203056,-121.07,-13477450.750300001,4750799.479999997
936667,91-58-0021,BLUE POINT MINE- RECLAIMED,"OPEN PIT,PLANT OR MILL,TAILINGS PROCESSING",RECLAIMED,NOT REPORTED,,BLUE POINT PARTNERS,BLUE POINT PARTNERS,State Mining & Geology Board,2015,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,79-2,80.00,,0,39.207222,-121.293333,-13502312.0662,4751397.962800004
936668,91-17-0016,MCCABE PIT - RECLAIMED,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,,,MCCABE,PIVNISKA,County of Lake,1990,0,,BLANK,18.00,,,39.208056,-122.911944,-13682495.0185,4751517.778499998
936669,91-58-0015,BLUE POINT CLARK QUARRY- RECLAIMED,"OPEN PIT,PLANT OR MILL,TAILINGS PROCESSING",CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,,,BLUE POINT PARTNERS,BLUE POINT PARTNERS,State Mining & Geology Board,2009,51,RECLAMATION IN PROGRESS,86-08,120.00,,0,39.21,-121.294444,-13502435.7421,4751797.066799998
936670,91-23-0010,RED ROCK QUARRY - CLOSED - RECLAIMED,QUARRY,RECLAIMED,Sand and Gravel,,GRANITE CONSTRUCTION COMPANY,GRANITE CONSTRUCTION COMPANY,County of Mendocino,2012,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,U19-84,153.00,,0,39.216111,-123.07,-13700089.7319,4752675.064999998
936671,91-58-0023,STRINGER PIT # 2 - MERGED INTO 58-0022,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,OPEN PIT",CLOSED - MERGED,Sand and Gravel,,"SILICA RESOURCES, INC.","SILICA RESOURCES, INC.",State Mining & Geology Board,2014,25,RECLAMATION IN PROGRESS,BLANK,,,85784,39.2175,-121.368056,-13510630.192499999,4752874.640299998
936672,91-23-0051,JOHN SMITH CREEK,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,0.8,RECLAMATION NOT STARTED,91-23-0051,1.00,6500.88,9631,39.218333,-123.535278,-13751884.241999999,4752994.3298999965
936673,91-17-0037,MIDDLE CREEK TERRACE POND PROJECT,OPEN PIT,ACTIVE,Sand and Gravel,,"CLEARLAKE REDI-MIX, INC.","CLEARLAKE REDI-MIX, INC.",County of Lake,2018,1.5,RECLAMATION IN PROGRESS,98-5,31.00,,20661.51,39.219167,-122.930278,-13684535.95,4753114.1646
936674,91-17-0018,TINNEY POND - CLOSED,OPEN PIT,RECLAIMED,Sand and Gravel,,"PARNUM PAVING, INC.","PARNUM PAVING, INC.",County of Lake,1996,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,92-42,2.00,,,39.22,-122.931944,-13684721.408300001,4753233.857000001
936675,91-58-0012,COUGHLAN PIT-RECLAIMED,TAILINGS PROCESSING,EXEMPT,Sand and Gravel,,COUGHLAN,YUBA RIVER SAND & GRAVEL,State Mining & Geology Board,1992,0,RECLAMATION NOT STARTED,BLANK,53.00,,,39.22,-121.443056,-13518979.1543,4753233.857000001
936676,91-58-0020,TIMBUCTOO MINE- RECLAIMED,OPEN PIT,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Sand and Gravel,,YUBA RIVER PROPERTIES II - PHILIP C. SUTHERLAND,YUBA RIVER PROPERTIES II,State Mining & Geology Board,2006,4,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP 85-17,117.00,19962,0,39.22,-121.316667,-13504909.5952,4753233.857000001
936677,91-58-0022,Long Bar Property,OPEN PIT,ACTIVE,Sand and Gravel,,"SILICA RESOURCES, INC.","SILICA RESOURCES, INC.",State Mining & Geology Board,2018,65,RECLAMATION IN PROGRESS,,120.00,160958,145404.87,39.221667,-121.366944,-13510506.4052,4753473.389899999
936678,91-58-0009,GARCIA SAND AND GRAVEL- MERGED W/58-0001,QUARRY,CLOSED - MERGED,Sand and Gravel,,GARCIA,GARCIA,State Mining & Geology Board,1991,3,RECLAMATION NOT STARTED,,,57039,,39.221944,-121.381111,-13512083.4684,4753513.1928
936679,91-58-0008,GARCIA SAND AND GRAVEL #1-RECLAIMED,TAILINGS PROCESSING,EXEMPT,Sand and Gravel,,GARCIA,GARCIA,State Mining & Geology Board,1992,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,88-01,8.00,,,39.221944,-121.371111,-13510970.2735,4753513.1928
936680,91-58-0013,PARKS BAR QUARRY,OPEN PIT,ACTIVE,Rock,,"NORDIC INDUSTRIES, INC.","NORDIC INDUSTRIES, INC.",State Mining & Geology Board,2018,44,RECLAMATION NOT STARTED,,234.00,623737.76,577699,39.222778,-121.333056,-13506734.0103,4753633.033699997
936681,91-29-0024,GOLDEN GIRL PLACER MINE,,PROPOSED,,,,,County of Nevada,,,,,,,,39.227778,-120.903889,-13458959.3584,4754351.534000002
936682,91-29-0025,BLUE LEAD GOLD MINE,OPEN PIT,NEWLY PERMITTED,,,GANZ,"BLUE LEAD GOLD MINE, LLC.",County of Nevada,2018,0,RECLAMATION NOT STARTED,"U08-21, Z08-006",74.00,,,39.227778,-120.903889,-13458959.3584,4754351.534000002
936683,91-29-0021,YUBA BLUE RANCH -  - RECLAIMED,UNDETERMINED,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Stone,,MULLICAN,MULLICAN,County of Nevada,2008,0,RECLAMATION IN PROGRESS,"U00-009, RP00-004, Z00-001,EIS00-014",2.00,,0,39.23,-121.278333,-13500642.2738,4754670.851999998
936684,91-23-0011,"NOR-CAL INVESTMENT CO., INC.",,EXEMPT,,,NOR-CAL INVESTMENT,COX,County of Mendocino,1991,3,RECLAMATION NOT STARTED,UR94-78/81,0.00,,,39.231944,-123.243056,-13719354.2377,4754950.227600001
936685,91-17-0029,CROSS TOWN HUNT CLUB - CLOSED,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,PIVNISKA,PIVNISKA TRUCKING,County of Lake,2008,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,91-11,3.00,,0,39.231944,-122.943611,-13686020.1728,4754950.227600001
936686,91-58-0018,LANDERS BAR & EXTENSION PLACER,PROSPECT,EXEMPT,,,BUTLER,BUTLER,State Mining & Geology Board,1992,,,BLANK,,,,39.231944,-121.277778,-13500580.4915,4754950.227600001
936687,91-23-0054,LITTLE NORTH FORK,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,0.25,RECLAMATION NOT STARTED,U4-2006,1.00,10501.45,17521,39.232778,-123.646389,-13764253.061900001,4755070.085500002
936688,91-17-0031,YOUNG POND,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,CLOSED NO INTENT TO RESUME,NOT REPORTED,,PIVNISKA,PIVNISKA TRUCKING,County of Lake,2018,0,RECLAMATION IN PROGRESS,93-20,3.00,5818.87,4926,39.233889,-122.945556,-13686236.689199999,4755229.754600003
936689,91-29-0022,SIERRA BOULDER,UNDETERMINED,ACTIVE,Decorative Rock,,WRIGHT,SIERRA BOULDER,County of Nevada,2018,0.65,RECLAMATION IN PROGRESS,U07-005,385.00,,2733,39.238333,-120.816389,-13449218.903,4755868.456299998
936690,91-23-0053,NORDEN GULCH,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,0.72,RECLAMATION NOT STARTED,U4-2006,1.00,10601.46,17105,39.244167,-123.651667,-13764840.6062,4756706.993299998
936691,91-58-0017,YSDI LOMA RICA ROAD- RECLAIMED,QUARRY,RECLAIMED,Clay,,"YUBA-SUTTER DISPOSAL, INC.","YUBA-SUTTER DISPOSAL, INC.",State Mining & Geology Board,2002,32,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,PC-89-22,80.00,20000,,39.253333,-121.49,-13524204.9365,4758024.588799998
936692,91-58-0004,SPERBECK QUARRY,OPEN PIT,ACTIVE,Rock,,"NORDIC INDUSTRIES, INC.","NORDIC INDUSTRIES, INC.",State Mining & Geology Board,2018,28.3,RECLAMATION NOT STARTED,,28.00,119996.17,124161.52,39.255556,-121.421111,-13516536.248100001,4758344.1669000015
936693,91-23-0055,BOWMAN RIDGE,OPEN PIT,IDLE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,0.37,RECLAMATION NOT STARTED,U4-2006,1.00,6800.92,10467,39.2625,-123.500833,-13748049.8421,4759342.500299998
936694,91-51-0002,BIHLMAN BUTTE ROCK,OPEN PIT,CLOSED NO INTENT TO RESUME,NOT REPORTED,,BIHLMAN,"BIHLMAN BUTTE ROCK, INC.",County of Sutter,2017,16.7,RECLAMATION IN PROGRESS,RP 05,22.00,156554.44,157891,39.263889,-121.775,-13555930.9914,4759542.2075999975
936695,91-29-0019,LIBERTY HILL MINE- ABANDONED,,ABANDONED,Gold (Placer),Silica,NAYLOR,LIBERTY HILL MINE,County of Nevada,1998,6,RECLAMATION NOT STARTED,,,,,39.267222,-120.796389,-13446992.5131,4760021.435099997
936696,91-23-0026,TUNZI INC.,OPEN PIT,ACTIVE,Sand and Gravel,,"TUNZI, INC.","TUNZI, INC.",County of Mendocino,2018,2,RECLAMATION NOT STARTED,U46-91,3.00,4200,9177,39.291667,-123.641667,-13763727.4113,4763536.897699997
936697,91-06-0015,"LOVELADY RANCH, LLC",STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,ACTIVE,Sand and Gravel,,"LOVELADY RANCH, LLC & LITTLE STONY, LLC","LOVELADY RANCH, LLC",County of Colusa,2018,1.5,RECLAMATION NOT STARTED,UP-07-1-5,8.00,16936.26,16936.26,39.298611,-122.529444,-13639915.313299999,4764535.745899998
936698,91-06-0001,THOMPSON QUARRY,QUARRY,RECLAIMED,Stone,,TEICHERT AGGREGATES,TEICHERT AGGREGATES,County of Colusa,2003,0.4,RECLAMATION NOT STARTED,UP90-5-1,144.00,,,39.303056,-122.321111,-13616723.7898,4765175.181500003
936699,91-23-0031,"REDWOOD VALLEY GRAVEL PRODUCTS, INC.",STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,ACTIVE,Sand and Gravel,,REDWOOD VALLEY GRAVEL PRODUCTS,REDWOOD VALLEY GRAVEL PRODUCTS,County of Mendocino,2018,2,RECLAMATION NOT STARTED,U22-72,56.00,75000,68665,39.303333,-123.211111,-13715798.136599999,4765215.030699998
936700,91-23-0037,BIG RIVER ROCK CO. (RECLAIMED),QUARRY,RECLAIMED,Shale,,PYORRE,BIG RIVER ROCK,County of Mendocino,2005,0,RECLAMATION IN PROGRESS,CDU 9-93,3.00,24800,24800,39.303889,-123.774722,-13778539.0261,4765295.017300002
936701,91-23-0032,BIG RIVER 7 MILE,OPEN PIT,ACTIVE,Sand and Gravel,,"MENDOCINO REDWOOD CO., LLC","MENDOCINO REDWOOD CO., LLC",County of Mendocino,2018,4.4,RECLAMATION NOT STARTED,U17-93,1.00,15402.18,18670,39.306111,-123.554444,-13754017.791299999,4765614.6822
936702,91-06-0012,BROWNSTONE QUARRY,QUARRY,ACTIVE,Dimension Stone,,BROWNSTONE QUARRY,BROWNSTONE QUARRY,County of Colusa,2018,5,RECLAMATION NOT STARTED,,,17346,20188,39.306667,-122.321389,-13616754.7366,4765694.671999998
936703,91-29-0013,FRENCH CORRAL,OPEN PIT,ACTIVE,Gold (Placer),"Rock,Silver",CALIFORNIA NATURAL RESOURCES CORPORATION,CALIFORNIA NATURAL RESOURCES LP,County of Nevada,2018,8,RECLAMATION NOT STARTED,U74-29,60.00,115000,103829.74,39.308889,-121.148889,-13486232.6337,4766014.349600002
936704,91-29-0004,MARTIS VALLEY PLANT,"OPEN PIT,PLANT OR MILL",ACTIVE,Sand and Gravel,,TEICHERT AGGREGATES,TEICHERT AGGREGATES,City of Truckee,2018,91.9,RECLAMATION IN PROGRESS,1210-U83-1,186.00,36909.01,398549,39.333333,-120.122778,-13372006.479600001,4769531.761500001
936705,91-23-0042,WARBONNET ROCK PRODUCTS - CLOSED - RECLAIMED,OPEN PIT,RECLAIMED,Rock,,OBERFELD,WARBONNET ROCK PRODUCTS,County of Mendocino,2009,0,RECLAMATION IN PROGRESS,UM 21-81/86,2.00,,0,39.334444,-123.102222,-13703676.6686,4769691.659999996
936706,91-23-0015,HARRIS QUARRY,QUARRY,ACTIVE,Stone,,"NORTHERN AGGREGATES, INC.",NORTHERN AGGREGATES INC,County of Mendocino,2018,17.64,RECLAMATION NOT STARTED,,31.00,156915,317984,39.336667,-123.31,-13726806.409699999,4770011.608499996
936707,91-29-0010,RIDGE ROCK QUARRY,OPEN PIT,ACTIVE,Sand and Gravel,,BONELLI,RIDGE ROCK QUARRY,County of Nevada,2018,10.3,RECLAMATION NOT STARTED,,20.00,,39538.09,39.336667,-121.141667,-13485428.6843,4770011.608499996
936708,91-06-0009,GOULD ROAD QUARRY,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Sand and Gravel,,JUELL,CJ ENTERPRISE,County of Colusa,2011,0,RECLAMATION IN PROGRESS,"EIR 90-123,UP 90-10-7",,,0,39.341111,-122.007778,-13581843.7198,4770651.248199999
936709,91-29-0020,RED LEDGE MINE,"OPEN PIT,UNDERGROUND",IDLE,NOT REPORTED,,"RED LEDGE MINING COMPANY, LLC","RED LEDGE MINING COMPANY, LLC",County of Nevada,2018,5.75,RECLAMATION NOT STARTED,"USFS 2810,RP98-002,2810",,,75892,39.343889,-120.800833,-13447487.217,4771051.115599997
936710,91-29-0008,CLAWSON MINE-ABANDONED,"OPEN PIT,TAILINGS PROCESSING",ABANDONED,Gold (Placer),,CLAWSON MINE,CLAWSON MINE,County of Nevada,2005,1.5,RECLAMATION NOT STARTED,U88-58M,9.00,7520,9889,39.349167,-120.976111,-13466999.0747,4771810.878700003
936711,91-29-0009,SPRING CREEK MINE - RECLAIMED,"OPEN PIT,TAILINGS PROCESSING",CLOSED - RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,Gold (Lode),,BIGELOW,BIGELOW,County of Nevada,1997,10,RECLAMATION NOT STARTED,MI83-30,11.00,,,39.353889,-120.975,-13466875.398699999,4772490.654799998
936712,91-29-0011,TROOD PLACER MINE- - RECLAIMED,QUARRY,RECLAIMED,Sand and Gravel,,ARBUCKLE,FORMERLY GRIZZLY HILL GRAVEL,County of Nevada,2006,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,528,38.00,5400,0,39.356111,-120.968056,-13466102.396200001,4772810.5484
936713,91-04-0002,BANGOR ROCK QUARRY - SITE B,QUARRY,NEWLY PERMITTED,Stone,,BANGOR ROCK LLC,BANGOR ROCK LLC,County of Butte,2018,0,RECLAMATION NOT STARTED,,200.00,,,39.358889,-121.401944,-13514402.5874,4773210.501699999
936714,91-29-0017,SAN JUAN RIDGE MINE - RECLAIMED,UNDERGROUND,RECLAIMED,Gold (Lode),,SISKON GOLD CORPORATION,SISKON GOLD CORPORATION,County of Nevada,2001,,RECLAMATION IN PROGRESS,"RP92-001,U92-036",,21000,,39.3625,-121.000278,-13469689.3328,4773730.4070999995
936715,91-29-0001,SAN JUAN RIDGE MINE PROSPECT- EXEMPT,,EXEMPT,,,,,County of Nevada,1998,,,,,,,39.363056,-120.99,-13468545.191100001,4773810.461400002
