"Permit No","Site Name","Permittee Name","Project Name","Permit Type","Status","Rating","Location","City","County","EFO Name","__Issuance__","_Effective_","__Expiration__"
"TN0066630","Rogers Group, Inc. - Pottsville dba Pottsville Quarry","Rogers Group, Inc. - Pottsville Quarry","Pottsville Quarry","Mining","Modification","Minor","646 Highway 99","Lewisburg","Marshall","Columbia","15-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0066150","Rogers Group, Inc. - Rutherford dba Rutherford County Quarry","Rogers Group, Inc. - Rutherford Quarry","Rutherford County Quarry","Mining","Reissuance","Minor","5920 Burnt Knob Road","Murfreesboro","Rutherford","Nashville","07-DEC-2018","01-JAN-2019","31-DEC-2023"
"TN0059561","Rutherford County Highway Department - Rutherford County Rock Quarry","Rutherford County Highway Department","Rutherford County Rock Quarry","Mining","Reissuance","Minor","3901 Shelbyville Highway","Murfreesboro","Rutherford","Nashville","13-NOV-2014","13-NOV-2014","12-NOV-2019"
"TN0072168","S & H Mining, Inc. - Deep Mine 11","S & H Mining, Inc.","Deep Mine 11","Mining","Reissuance","Minor","PO Box 480","Rocky Top","Campbell","Knoxville","07-JUL-2017","01-AUG-2017","31-JUL-2022"
"TN0046647","S & H Mining, Inc. - Deep Mine 2","S & H Mining, Inc.","Deep Mine 2","Mining","Reissuance","Minor","PO Box 480","Rocky Top","Campbell","Knoxville","07-JUL-2017","01-AUG-2017","31-JUL-2022"
"TN0052531","S & H Mining, Inc.","S & H Mining, Inc.","Deep Mine 8","Mining","Reissuance","Minor","Deep Mine #8","Caryville","Campbell","Knoxville","07-JUL-2017","01-AUG-2017","31-JUL-2022"
"TN0072419","S & H Mining, Inc. - Deep Mine 12","S & H Mining, Inc.","Deep Mine 12","Mining","Reissuance","Minor","PO Box 480","Rocky Top","Campbell","Knoxville","30-JUN-2017","01-JUL-2017","30-JUN-2022"
"TN0079618","S.C.P. Investments, LLC","SCP Investments, LLC","Crab Orchard Quarry ","Mining","Modification","Minor","323 Crab Orchard Rock Quarry Road","Crab Orchard","Cumberland","Cookeville","07-JUL-2017","13-SEP-2017","12-SEP-2022"
"TN0070572","SRM Materials, LLC - Smyrna Quarry","SRM Materials, LLC","Smyrna Quarry","Mining","New","Minor","5983 Hickory Grove Road","Murfreesboro","Rutherford","Nashville","26-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0070459","Saltillo Sand & Gravel, Inc. Material Wash Plant","Saltillo Sand & Gravel, Inc.","Saltillo Sand & Gravel Material Wash Plant","Mining","New","Minor","810 Highway 104","Saltillo","Hardin","Jackson","25-SEP-2019","01-OCT-2019","30-SEP-2024"
"TN0072362","Sand Products, LLC","Sand Products, LLC","Mineral Springs Mine ","Mining","Reissuance","Minor","4039 Hanging Limb Highway","Monterey","Overton","Cookeville","30-SEP-2016","01-OCT-2016","30-SEP-2021"
"TN0065897","Sand Switch Mine","Sequatchie Concrete Service","Sand Switch Mine ","Mining","Reissuance","Minor","Winchester Road (Hwy 56)","Monteagle","Marion","Chattanooga","22-JUN-2016","01-JUL-2016","30-JUN-2021"
"TN0066214","Sevier County Highway Department","Sevier County Highway Department
","Sevier County Quarry","Mining","Reissuance","Minor","139 County Garage Road ","Sevierville","Sevier","Knoxville","01-MAY-2018","01-MAY-2018","30-APR-2023"
"TN0079723","Sherwood Mining Company, LLC","Sherwood Mining Company, LLC
Sherwood Rock Quarry","Sherwood Rock Quarry ","Mining","Reissuance","Minor","9881 Sherwood Road","Sherwood","Franklin","Columbia","15-JUN-2017","15-JUN-2017","14-JUN-2022"
"TN0069230","Shiloh Processing Facility","Shiloh Sand & Gravel","-","Mining","Modification","Minor","215 Owen Lane","Shiloh","Hardin","Jackson","20-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0054291","Short Mountain Silica","Short Mountain Silica Company
","Short Mountain Sand Quarry","Mining","Modification","Minor","170 Silica Road","Mooresburg","Hawkins","Johnson City","12-JAN-2017","01-MAR-2017","28-FEB-2022"
"TN0071919","Short Mountain Trucking, Inc.
Truck Loading and Maintenance","Short Mountain Trucking, Inc.","Truck Loading and Maintenance","Mining","Modification","Minor","151 Silica Road","Mooresburg","Hawkins","Johnson City","12-JAN-2018","25-JAN-2018","24-JAN-2023"
"TN0066460","Area #1 - Clayfield","Signal Mountain Cement Co. dba Buzzi Unicem USA","Area #1 - Clayfield","Mining","Reissuance","Minor","Hudson Road","Chattanooga","Hamilton","Chattanooga","22-JUL-2019","01-SEP-2019","31-AUG-2024"
"TN0001821","Signal Mountain Cement Company, L. P.","Signal Mountain Cement Co. dba Buzzi Unicem USA","Bennett's Lake Quarry","Mining","Reissuance","Minor","1260 Bennett's Lake Road","Jasper","Marion","Chattanooga","16-NOV-2016","01-DEC-2016","30-NOV-2021"
"TN0079707","Silvara Industries, Inc.- Quarry No. 3","Silvara Industries, Inc.","Quarry No. 3","Mining","Reissuance","Minor","Chestnut Hill Rd","Crab Orchard","Cumberland","Cookeville","12-MAR-2018","12-MAR-2018","11-MAR-2023"
"TN0070041","Westhaven Partners, LLC","Southern Land Company, LLC ","Portable Rock Crusher ","Mining","New","Minor","City of Franklin","Franklin","Williamson","Nashville","16-SEP-2016","01-OCT-2016","30-SEP-2021"
"TN0063622","Taylor Brothers Sand Company","Southern Rock Manufacturers, LLC","Quarry No. 2","Mining","Reissuance","Minor","650 Cox Valley Road","Crossville","Cumberland","Cookeville","04-NOV-2015","31-JAN-2016","30-JAN-2021"
"TN0069558","Southern Rock Manufacturing, LLC 
- Smith Site","Southern Rock Manufacturing, LLC
Community Stone","Community Stone","Mining","Modification","Minor","1327 John Bragg Highway","Woodbury","Cannon","Cookeville","19-JUN-2019","01-JUN-2018","30-SEP-2021"
"TN0030431","Mine # 7, Powers","Spinks Clay Co., dba Lhoist North America","Mine #7 - Powers","Mining","Reissuance","Minor","1705 Woodard Rd","Como","Henry","Jackson","04-JAN-2019","01-MAR-2019","29-FEB-2024"
"TN0062821","Mine #22, Swain","Spinks Clay Co., dba Lhoist North America
","Mine 22 Swain ","Mining","Reissuance","Minor","1200 Mount Zion Rd","Gleason","Weakley","Jackson","29-JUN-2015","09-JUL-2015","08-JUL-2020"
"TN0071293","Standard Construction Company, Inc. McNairy Pit","Standard Constr. Co., Inc.","McNairy Pit ","Mining","Reissuance","Minor","Dennie Barber Rd","Stantonville","McNairy","Jackson","18-DEC-2015","16-JAN-2016","15-JAN-2021"
"TN0071790","Standard Construction Company, Inc. - Hardin Pit","Standard Construction Company
","Hardin Pit","Mining","Reissuance","Minor","Doctor Williams Road aka Wayne Road","Counce","Hardin","Jackson","22-DEC-2017","01-JAN-2018","31-DEC-2022"
"TN0054496","Standard Construction Frank Road, Area #5","Standard Construction Company, Inc.","Frank Road - Area #5","Mining","Reissuance","Minor","1035 Frank Road","Collierville","Shelby","Memphis","11-JAN-2019","01-FEB-2019","31-JAN-2024"
"TN0066591","Standard Construction - Deadfall Pit - Area #7
","Standard Construction Company, Inc.","Deadfall Pit - Area #7","Mining","Reissuance","Minor","8476 Deadfall Road","Arlington","Shelby","Memphis","29-APR-2016","01-MAY-2016","30-APR-2021"
"TN0070173","Standard Construction Godwin Road Mining Site","Standard Construction Company, Inc. ","Godwin Road Mine #9","Mining","New","Minor","Godwin Road and Van Road","Arlington","Shelby","Memphis","28-APR-2017","01-MAY-2017","30-APR-2022"
"TN0071587","Standard Construction Company, Inc. dba Whiteville Asphalt Plant","Standard Construction Company, Inc. 
","Hardeman Sand Pit","Mining","Reissuance","Minor","4195 Ermon Road","Whiteville","Hardeman","Memphis","11-MAY-2017","15-MAY-2017","14-MAY-2022"
"TN0072770","Stone Quarries of Tennessee, Inc. 
Winningham Quarry 
Formerly: Silvara Industries Quarry 1 ","Stone Quarries of Tennessee, Inc. 
Formerly: Silvara Industries, Inc. 
","Winningham Quarry
Formerly: Quarry #1","Mining","Active","Minor","Winningham Road","Crossville","Cumberland","Cookeville","22-JUL-2016","01-AUG-2016","31-JUL-2021"
"TN0069621","Stones River Quarry, LLC","Stones River Quarry, LLC","Site 1","Mining","Reissuance","Minor","895 Bradyville Road","Woodbury","Cannon","Cookeville","30-SEP-2016","01-NOV-2016","31-OCT-2021"
"TN0072389","Stone Sales Service","Stones Sales & Service, Inc.","Lewis Chapel Quarry ","Mining","Reissuance","Minor","579 Quarry Road (Rt. 2, Box 173A)","Dunlap","Sequatchie","Chattanooga","15-JAN-2016","15-JAN-2016","14-JAN-2021"
"TN0066664","Sumner County Highway Department Limestone Quarry #1","Sumner County Highway Dept.","Sumner County Highway Department Quarry ","Mining","Reissuance","Minor","555 Odoms Bend Road","Gallatin","Sumner","Nashville","20-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0070807","Teague Transports, LLC - Jackson Quarry ","Teague Transports, LLC ","Jackson Quarry","Mining","Reissuance","Minor","813 Airways Blvd","Jackson","Madison","Jackson","15-AUG-2019","01-SEP-2019","31-AUG-2024"
"TN0071862","Tennessee Marble - Brown Quarry","Tennessee Marble Company","Brown Quarry","Mining","Modification","Minor","343 W. Vinegar Valley Road","Friendsville","Blount","Knoxville","06-DEC-2018","01-MAR-2019","29-FEB-2024"
"TN0072125","Tennessee Marble Company
Endsley Quarry","Tennessee Marble Company","Endsley Quarry","Mining","Reissuance","Minor","428 Endsley Quarry Lane","Friendsville","Blount","Knoxville","30-APR-2015","23-JUL-2015","22-JUL-2020"
"TN0072745","Tennessee Marble Company, Inc.","Tennessee Marble Company, Inc.","Gray Knox Quarry","Mining","Reissuance","Minor","Gray Knox Quarry
343 West Vinegar Valley Road","Knoxville","Knox","Knoxville","14-MAR-2016","01-JUN-2016","31-MAY-2021"
"TN0071749","Tennessee Valley Authority
Flatwoods Mine Area","Tennessee Valley Authority (TVA)","TVA Flatwoods Mine","Mining","Reissuance","Minor","Ershell Collins Industrial Park","Caryville","Campbell","Knoxville","04-NOV-2015","04-NOV-2015","03-NOV-2020"
"TN0079324","Tinker-Watkins Sand & Gravel - Perryville Mine Site","Tinker-Watkins Sand & Gravel","Perryville Mine Site","Mining","Reissuance","Minor","1340 Perryville Road","Parsons","Decatur","Jackson","07-OCT-2015","05-JAN-2016","04-JAN-2021"
"TN0069507","Tinsley Asphalt Products dba Greenhaw Road Quarry","Tinsley Asphalt Products","Greenhaw Road Quarry","Mining","Reissuance","Minor","5540 Greenhaw Road","Decherd","Franklin","Columbia","10-NOV-2015","07-FEB-2016","06-FEB-2021"
"TN0070190","Delaney Loop Quarry","Tomahawk Materials Inc.","Delaney Loop Quarry","Mining","New","Minor","23010 Hwy 69","Crump","Hardin","Jackson","06-APR-2017","06-APR-2017","05-APR-2022"
"TN0070343","Doubletop Quarry","Top of the Mountain Stone, LLC","Doubletop Quarry","Mining","New","Minor","Doubletop Road","Jamestown","Fentress","Cookeville","24-SEP-2018","01-OCT-2018","30-SEP-2023"
"TN0063711","Tri-County Stone Company, Inc.
Area 1","Tri-County Stone Co., Inc.
","Grundy County Facility","Mining","Reissuance","Minor","Highway 108 - Viola Road","Morrison","Grundy","Chattanooga","01-NOV-2017","01-DEC-2017","30-NOV-2022"
"TN0069647","Triple H Coal, LLC Surface Mine 2A","Triple H Coal, LLC","Mine 2A","Mining","Incomplete","Minor","US 25W Rock Creek","Duff","Campbell","Knoxville","-","-","-"
"TN0079898","Triple H Coal, LLC 
Surface Mine 2","Triple H Coal, LLC","Area #2","Mining","Reissuance","Minor","Peabody Mountain 
","LaFollette","Campbell","Knoxville","10-SEP-2015","10-SEP-2015","09-SEP-2020"
"TN0079464","Triple H Coal, LLC dba
Rosevelt Tipple","Triple H Coal, LLC
Rosevelt Tipple","Rosevelt Tipple ","Mining","Reissuance","Minor","2959 South Highway 25 West","Lafollette","Campbell","Knoxville","26-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0072648","Turner Brothers Stone Company","Turner Brothers Stone Company, Inc. DBA Cumberland Mountain Stone ","-","Mining","Reissuance","Minor","389 Flagstone Lane","Crossville","Cumberland","Cookeville","10-JUN-2016","01-JUL-2016","30-JUN-2021"
"TN0079171","Volunteer Materials, LLC
/ Volunteer Concrete,LLC dba Volunteer Concrete, LLC - Plant 1","Volunteer Materials, LLC















","Highway 99 Quarry ","Mining","Reissuance","Minor","750 Highway 99","Lewisburg","Marshall","Columbia","15-MAY-2019","01-JUN-2019","31-MAY-2024"
"TN0082236","Volunteer Sand and Gravel, LLC","Volunteer Sand and Gravel, LLC","Volunteer Sand and Gravel Mine","Mining","New","Minor","519 Hwy 13","Hurricane Mills","Humphreys","Nashville","-","-","-"
"TN0072346","Vulcan Construction Materials, LLC","Vulcan Construction Materials, LLC","Madisonville Quarry ","Mining","Reissuance","Minor","Madisonville Quarry","Philadelphia","Monroe","Knoxville","14-MAY-2020","01-AUG-2020","31-JUL-2025"
"TN0063835","Vulcan Construction Materials, LLC - Dayton Quarry","Vulcan Construction Materials, LLC","Dayton Quarry","Mining","Modification","Minor","5730 Old Washington Highway","Dayton","Rhea","Chattanooga","09-APR-2020","01-JUL-2020","30-JUN-2025"
"TN0005487","Vulcan Construction Materials, LLC - Athens Quarry","Vulcan Construction Materials, LLC","Athens Quarry ","Mining","Reissuance","Minor","110 CR-173","Athens","McMinn","Chattanooga","02-APR-2020","01-MAY-2020","30-APR-2025"
"TN0061697","Vulcan Construction Materials, LLC - Richard City Quarry","Vulcan Construction Materials, LLC","Richard City Quarry ","Mining","Active","Minor","802 19th Street","South Pittsburg","Marion","Chattanooga","13-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0064157","Vulcan Construction Materials, LLC","Vulcan Construction Materials, LLC","Bristol Quarry","Mining","Active","Minor","1516 Highway 11 West","Bristol","Sullivan","Johnson City","18-OCT-2019","01-DEC-2019","30-NOV-2024"
"TN0065714","Vulcan Construction Materials, LLC - Readyville Quarry","Vulcan Construction Materials, LLC","Readyville Quarry","Mining","Active","Minor","Airpark II, Ste. B-19, 1410 Donelson Pike","Nashville","Cannon","Cookeville","21-AUG-2019","01-SEP-2019","31-AUG-2024"
"TN0063142","Vulcan Construction Materials, LLC - Pleasant View Quarry","Vulcan Construction Materials, LLC","Pleasant View Quarry","Mining","Active","Minor","3025 Joe Dowlen Road","Pleasant View","Robertson","Nashville","24-JUL-2019","01-SEP-2019","31-AUG-2024"
"TN0068896","Vulcan Construction Materials, LLC - Midway Quarry","Vulcan Construction Materials, LLC","Midway Quarry","Mining","Reissuance","Minor","348 Midway Road","Midway","Greene","Johnson City","22-JUL-2019","01-AUG-2019","31-JUL-2024"
"TN0003018","Vulcan Construction Materials, LLC - Sevierville Quarry","Vulcan Construction Materials, LLC","Sevierville Quarry","Mining","Modification","Minor","1138 Park Road","Sevierville","Sevier","Knoxville","18-JUL-2019","01-AUG-2019","31-JUL-2024"
"TN0066494","Vulcan Construction Materials, LLC - Cookeville Quarry","Vulcan Construction Materials, LLC","Cookeville Quarry","Mining","Reissuance","Minor","2988 Dacco Quarry Road","Cookeville","Putnam","Cookeville","18-JUL-2019","01-AUG-2019","31-JUL-2024"
"TN0066648","Vulcan Construction Materials, LLC - Claiborne County Quarry","Vulcan Construction Materials, LLC","Claiborne County Quarry","Mining","Reissuance","Minor","945 Cedar Fork Road","Tazewell","Claiborne","Knoxville","19-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0072222","Friendsville North Quarry","Vulcan Construction Materials, LLC","Friendsville North Quarry","Mining","Reissuance","Minor","3758 West Lamar Alexander Pkwy","Friendsville","Blount","Knoxville","03-APR-2019","01-JUL-2019","30-JUN-2024"
"TN0072311","Vulcan Construction Materials, LLC - Newport Quarry","Vulcan Construction Materials, LLC","Newport Quarry","Mining","Reissuance","Minor","630 Yorkshire Way","Newport","Cocke","Knoxville","17-MAY-2019","01-JUN-2019","31-MAY-2024"
"TN0065790","Georgetown Quarry","Vulcan Construction Materials, LLC","Georgetown Quarry","Mining","Reissuance","Minor","Old Hwy 58","Georgetown","Meigs","Chattanooga","15-MAY-2019","01-JUN-2019","31-MAY-2024"
"TN0029467","Vulcan Construction Materials, LLC - Riverside Drive Quarry","Vulcan Construction Materials, LLC","Riverside Drive Quarry","Mining","Reissuance","Minor","2500 Riverside Drive","Knoxville","Knox","Knoxville","15-MAY-2019","01-JUN-2019","31-MAY-2024"
"TN0003042","Vulcan Construction Materials, LLC dba Maryville Quarry","Vulcan Construction Materials, LLC","Maryville Quarry","Mining","Reissuance","Minor","2201 Duncan Road","Maryville","Blount","Knoxville","21-MAR-2019","01-JUN-2019","31-MAY-2024"
"TN0072303","Birds Bridge Dredge","Vulcan Construction Materials, LLC","Birds Bridge Dredge","Mining","Reissuance","Minor","6950 Old Asheville Hwy","Greeneville","Greene","Johnson City","15-APR-2019","01-MAY-2019","30-APR-2024"
"TN0004171","Vulcan Construction Materials, LLC - Columbia Quarry","Vulcan Construction Materials, LLC","Columbia Quarry","Mining","Reissuance","Minor","580 Theta Pike","Columbia","Maury","Columbia","15-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0027910","Vulcan Construction Materials, LLC - Rogersville Quarry","Vulcan Construction Materials, LLC","Rogersville Quarry","Mining","Reissuance","Minor","417 Shepards Chapel Road","Rogersville","Hawkins","Johnson City","01-OCT-2018","01-OCT-2018","30-SEP-2023"
"TN0003069","Vulcan Construction Materials, LLC -Tazewell Quarry","Vulcan Construction Materials, LLC","Tazewell Quarry","Mining","Reissuance","Minor","560 Cedar Fork Road","Tazewell","Claiborne","Knoxville","17-AUG-2018","01-OCT-2018","30-SEP-2023"
"TN0003085","Vulcan Construction Materials, LLC dba
Savanah Quarry","Vulcan Construction Materials, LLC","Savannah Quarry ","Mining","Reissuance","Minor","12475 Highway 64 East","Savannah","Hardin","Jackson","15-JUN-2018","01-SEP-2018","31-AUG-2023"
"TN0071960","Clifton Quarry","Vulcan Construction Materials, LLC","Clifton Quarry","Mining","Reissuance","Minor","121 Bush Road","Nashville","Wayne","Columbia","01-AUG-2018","01-AUG-2018","31-JUL-2023"
"TN0065994","Vulcan Construction Materials, LLC dba Morristown Quarry","Vulcan Construction Materials, LLC","Morristown Quarry","Mining","Reissuance","Minor","4375 McClister Road","Morristown","Hamblen","Knoxville","23-JUL-2018","01-AUG-2018","31-JUL-2023"
"TN0003077","Vulcan Construction Materials, LLC","Vulcan Construction Materials, LLC","Chattanooga Quarry","Mining","Modification","Minor","537 Market Street, Suite 203","Chattanooga","Hamilton","Chattanooga","01-MAY-2018","01-JUL-2018","30-JUN-2023"
"TN0026484","Vulcan Construction Materials, LLC - Dixie Lee Quarry","Vulcan Construction Materials, LLC","Dixie Lee Quarry ","Mining","Reissuance","Minor","1716 Everett Road","Concord","Knox","Knoxville","01-FEB-2018","01-MAY-2018","30-APR-2023"
"TN0076333","Monterey Sand Quarry","Vulcan Construction Materials, LLC","Monterey Sand Quarry","Mining","Reissuance","Minor","2889 Hanging Limb Highway","Monterey","Putnam","Cookeville","28-FEB-2018","01-APR-2018","31-MAR-2023"
"TN0076341","Vulcan Construction Materials, LLC dba Greystone Sand & Gravel","Vulcan Construction Materials, LLC","Greystone Sand and Gravel","Mining","Reissuance","Minor","1980 Greystone Road","Greeneville","Greene","Johnson City","01-FEB-2018","01-APR-2018","31-MAR-2023"
"TN0076244","Vulcan Construction Materials, LLC - Giles County Quarry","Vulcan Construction Materials, LLC","Giles County Quarry","Mining","Reissuance","Minor","3101 Campbellsville Road","Pulaski","Giles","Columbia","01-DEC-2017","01-MAR-2018","28-FEB-2023"
"TN0072460","Maynardville Quarry","Vulcan Construction Materials, LLC","Maynardville Quarry","Mining","Reissuance","Minor","776 John Deere Drive","Maynardville","Union","Knoxville","21-JUL-2017","01-AUG-2017","31-JUL-2022"
"TN0027774","Vulcan Construction Materials, LLC - Franklin Quarry","Vulcan Construction Materials, LLC","Franklin Quarry","Mining","Modification","Minor","1001 Downs Boulevard","Franklin","Williamson","Nashville","29-JUN-2018","01-JUL-2018","31-JAN-2022"
"TN0066508","Vulcan Construction Materials, LLC - dba Shelbyville Quarry","Vulcan Construction Materials, LLC","Shelbyville Quarry ","Mining","Reissuance","Minor","1683 Railroad Avenue","Shelbyville","Bedford","Columbia","01-AUG-2016","01-AUG-2016","31-JUL-2021"
"TN0072761","Vulcan Construction Materials, LLC dba Rockford Quarry","Vulcan Construction Materials, LLC","-","Mining","Reissuance","Minor","210 Caney Branch Road","Rockford","Blount","Knoxville","09-MAY-2016","01-AUG-2016","31-JUL-2021"
"TN0072354","Vulcan Construction Materials, LLC Polk County Quarry
","Vulcan Construction Materials, LLC","Polk County Quarry","Mining","Reissuance","Minor","142 Rock Drive","Benton","Polk","Chattanooga","24-FEB-2016","25-MAY-2016","24-MAY-2021"
"TN0066681","Vulcan Construction Materials, LLC","Vulcan Construction Materials, LLC","Afton Quarry ","Mining","Reissuance","Minor","Afton Quarry","Afton","Greene","Johnson City","21-AUG-2015","21-NOV-2015","20-NOV-2020"
"TN0072621","Vulcan Construction Materials, LLC - Friendsville South Quarry","Vulcan Construction Materials, LLC","Friendsville South Quarry","Mining","Reissuance","Minor","412 Endsley Quarry Road","Friendsville","Blount","Knoxville","21-AUG-2015","20-NOV-2015","19-NOV-2020"
"TN0005495","Cleveland Quarry","Vulcan Construction Materials, LLC","Cleveland Quarry ","Mining","Reissuance","Minor","3854 Bates Pike","Cleveland","Bradley","Chattanooga","02-JUL-2015","30-AUG-2015","29-AUG-2020"
"TN0060879","Vulcan Construction Materials, LLC
- Greeneville Quarry","Vulcan Construction Materials, LLC","Greeneville Quarry","Mining","Modification","Minor","1192 Lonesome Pine Trail","Greeneville","Greene","Johnson City","10-APR-2015","10-JUL-2015","09-JUL-2020"
"TN0003026","Vulcan Construction Materials, LLC
Danley Quarry","Vulcan Construction Materials, LLC
","Danley Quarry","Mining","Modification","Minor","Franklin Limestone Ct","Nashville","Davidson","Nashville","28-MAY-2020","28-MAY-2020","30-SEP-2023"
"TN0026476","Vulcan Construction Materials, LLC dba Clarksville Quarry","Vulcan Construction Materials, LLC
","Clarksville Quarry","Mining","Modification","Minor","7 Quarry Road
","Clarksville","Montgomery","Nashville","15-JAN-2020","01-FEB-2020","30-SEP-2022"
"TN0003115","Vulcan Construction Materials, LLC
Hermitage Quarry","Vulcan Construction Materials, LLC
","Hermitage Quarry","Mining","Modification","Minor","5301 Old Hickory Blvd","Hermitage","Davidson","Nashville","28-AUG-2017","01-SEP-2017","31-AUG-2022"
"TN0065951","Vulcan Construction Materials, LP dba Kodak Quarry","Vulcan Construction Materials, LLC
Kodak Quarry","Kodak Quarry ","Mining","Reissuance","Minor","3360 Winfield Dunn Parkway","Kodak","Sevier","Knoxville","01-FEB-2018","01-APR-2018","31-MAR-2023"
"TN0003107","Vulcan Construction Materials, LLC - Benton County Quarry
 TN0003107","Vulcan Construction Materials, LLC ","Benton County Quarry","Mining","Modification","Minor","8595 Highway 192","Holladay","Benton","Jackson","15-NOV-2019","01-DEC-2019","30-NOV-2024"
"TN0002747","Vulcan Construction Materials, LLC - Dickson Quarry","Vulcan Construction Materials, LLC ","Dickson Quarry","Mining","Active","Minor","1150 North Hummingbird Lane","Dickson","Dickson","Nashville","24-JUL-2019","01-SEP-2019","31-AUG-2024"
"TN0066389","Vulcan Construction Materials, LLC","Vulcan Construction Materials, LLC ","Decatur County Quarry ","Mining","Reissuance","Minor","Brodies Landing Road","Parsons","Decatur","Jackson","05-OCT-2018","01-JAN-2019","31-DEC-2023"
"TN0027782","Vulcan Construction Materials, LLC -  Parsons Quarry","Vulcan Construction Materials, LLC ","Parsons Quarry","Mining","Reissuance","Minor","150 Rock Crusher Lane","Parsons","Decatur","Jackson","16-AUG-2018","01-NOV-2018","31-OCT-2023"
"TN0003549","Vulcan Construction Materials, LLC - River Road Quarry","Vulcan Construction Materials, LLC ","River Road Quarry","Mining","Modification","Minor","5853 River Road","Nashville","Davidson","Nashville","15-JUN-2018","01-SEP-2018","31-AUG-2023"
"TN0066362","WL Asphalt Plant,
Black Rock Crushing,
Vulcan Construction Materials, LLC dba Kingsport Quarry","Vulcan Construction Materials, LLC ","Kingsport Quarry","Mining","Reissuance","Minor","400 Deneen Lane","Kingsport","Sullivan","Johnson City","01-MAR-2018","01-MAY-2018","30-APR-2023"
"TN0063134","Vulcan Construction Materials, LLC -  Springfield Quarry","Vulcan Construction Materials, LLC 
","Springfield Quarry","Mining","Modification","Minor","4275 Highway 431 North","Springfield","Robertson","Nashville","01-FEB-2018","01-MAY-2018","30-APR-2023"
"TN0071544","Vulcan Construction Materials, LLC dba 109 Quarry","Vulcan Construction Materials, LLC 
","Quarry 109/Lojac Enterprises 109 Asphalt Plant","Mining","Reissuance","Minor","379 Leeville Road
","Lebanon","Wilson","Nashville","04-OCT-2016","01-DEC-2016","30-NOV-2021"
"TN0069680","Vulcan Construction Materials, LLC dba Grainger County Quarry   / Duracap Asphalt Paving Company, Incorporated dba Plant #3","Vulcan Construction Materials, LLC 
Formerly: Bean Station Materials ","Grainger County Quarry 
Formerly: Bean Station Materials Quarry ","Mining","Reissuance","Minor","738 Miller Road","Bean Station","Grainger","Knoxville","26-JAN-2017","01-FEB-2017","31-JAN-2022"
"TN0066184","Vulcan Construction Materials, LLC 
Formerly: James T. Tinin dba River Bend Chert","Vulcan Construction Materials, LLC 
Formerly: James T. Tinin dba River Bend Chert 
","Holladay North
Formerly: Benton County Chert Mine ","Mining","Modification","Minor","Pitt Road","Holladay","Benton","Jackson","24-MAY-2018","01-JUN-2018","31-MAY-2023"
"TN0069566","Vulcan Construction Materials, LLC
Formerly: 411 Crushed Stone","Vulcan Construction Materials, LLC  dba Loudon County Stone","Loudon County Quarry ","Mining","Modification","Minor","6334 US-411","Greenback","Loudon","Knoxville","27-FEB-2018","27-FEB-2018","07-APR-2021"
"TN0068969","Vulcan Construction Materials, LLC dba Sweetwater Quarry","Vulcan Construction Materials, LLC - Sweetwater Quarry","Sweetwater Quarry","Mining","Reissuance","Minor","1700 Sands Road","Sweetwater","Monroe","Knoxville","04-NOV-2016","01-FEB-2017","31-JAN-2022"
"TN0070998","Vulcan Construction Materials, LLC - Wilson County Quarry","Vulcan Construction Materials, LLC - Wilson County Quarry","Wilson County Quarry","Mining","Modification","Minor","2041 Murfreesboro Road","Lebanon","Wilson","Nashville","01-MAY-2016","01-AUG-2016","31-JUL-2021"
"TN0069353","Walker's Truck Contractors, Inc. - 
Rock Crushing & Stone Stockpile Area","Walker's Truck Contractors, Inc.","Rock Crushing Plant & Stone Stockpile Area ","Mining","Reissuance","Minor","2002 Hwy. 11 E","New Market","Jefferson","Knoxville","16-SEP-2016","01-OCT-2016","30-SEP-2021"
"TN0072591","Wayne County Rock, Inc.","Wayne County Rock","Site 1","Mining","Reissuance","Minor","1800 Savannah Highway","Waynesboro","Wayne","Columbia","27-OCT-2016","01-NOV-2016","31-OCT-2021"
"TN0070017","Wilkerson Creek Quarry - Mayland Road Site","Wilkerson Creek Quarry ","Quarry No. 1 ","Mining","New","Minor","27 Matthews Road","Pleasant Hill","Cumberland","Cookeville","15-MAR-2016","01-APR-2016","31-MAR-2021"
"TN0068861","Williamson County Rock Quarry and Highway Dept","Williamson County Highway Department","Williamson County Quarry","Mining","Modification","Minor","302 Beasley Drive","Franklin","Williamson","Nashville","11-JAN-2019","01-MAR-2019","29-FEB-2024"
"TN0066583","Clarksville Quarry","Winn Materials, LLC","Clarksville Quarry","Mining","Active","Minor","800 Barge Point Road","Clarksville","Montgomery","Nashville","15-JUN-2018","15-JUN-2018","24-APR-2020"
"TN0066346","Wright Brothers Construction Company, Inc. dba Old Fort Quarry","Wright Brothers Construction Company, Inc.","Old Fort Quarry","Mining","Active","Minor","316 Stafford Road","Old Fort","Polk","Chattanooga","01-JUN-2017","01-JUN-2017","31-MAY-2022"
